date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:19:38	23/23	---M--	200	added ('OK')	text/plain	date:Thu,%2012%20Aug%202021%2015:27:01%20GMT	https://www.big4transparency.com/robots.txt		(from )
21:19:39	167777/167777	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Aug%202021%2015:27:01%20GMT	https://www.big4transparency.com/	C:/My%20Web%20Sites/4may/www.big4transparency.com/index.html	(from )
21:19:40	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%225eb04010-2606e%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.3.1/css/bootstrap.min.css	C:/My%20Web%20Sites/4may/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.3.1/css/bootstrap.min.css	(from https://www.big4transparency.com/)
21:19:41	73117/73117	---M-Z	200	added ('OK')	text/css	etag:%225f0f47d3-11d9d%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/all.css	C:/My%20Web%20Sites/4may/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/all.css	(from https://www.big4transparency.com/)
21:19:41	3190/3190	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Aug%202021%2023:07:21%20GMT	https://softr-prod.imgix.net/applications/86edf168-f0d6-40a3-b607-2968eae433fb/assets/d5dcdc77-7861-4225-b2e2-0a64ae4416e1.png	C:/My%20Web%20Sites/4may/softr-prod.imgix.net/applications/86edf168-f0d6-40a3-b607-2968eae433fb/assets/d5dcdc77-7861-4225-b2e2-0a64ae4416e1.jpg	(from https://www.big4transparency.com/)
21:19:42	21567/21567	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Aug%202021%2015:27:04%20GMT	https://www.big4transparency.com/earnings-progression	C:/My%20Web%20Sites/4may/www.big4transparency.com/earnings-progression.html	(from https://www.big4transparency.com/)
21:19:43	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-15851%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/My%20Web%20Sites/4may/cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://www.big4transparency.com/)
21:19:44	21004/21004	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	C:/My%20Web%20Sites/4may/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from https://www.big4transparency.com/)
21:19:45	58072/58072	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04010-e2d8%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.3.1/js/bootstrap.min.js	C:/My%20Web%20Sites/4may/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.3.1/js/bootstrap.min.js	(from https://www.big4transparency.com/)
21:19:45	2621013/2621013	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Aug%202021%2013:40:11%20GMT	https://softr-prod.imgix.net/applications/86edf168-f0d6-40a3-b607-2968eae433fb/assets/c36d2a95-f8b0-4469-a184-d7978a9f80d0.jpeg	C:/My%20Web%20Sites/4may/softr-prod.imgix.net/applications/86edf168-f0d6-40a3-b607-2968eae433fb/assets/c36d2a95-f8b0-4469-a184-d7978a9f80d0.jpg	(from https://www.big4transparency.com/)
21:19:45	11120/11120	---M-Z	200	added ('OK')	text/css	etag:W/%222b70-ygnBz6wOQ/YNsvCEV2jKpYOM7Ks%22	https://cdn.jsdelivr.net/npm/bootstrap-select@1.13.14/dist/css/bootstrap-select.min.css	C:/My%20Web%20Sites/4may/cdn.jsdelivr.net/npm/bootstrap-select@1.13.14/dist/css/bootstrap-select.min.css	(from https://www.big4transparency.com/)
21:19:45	52249/52249	---M-Z	200	added ('OK')	application/javascript	etag:W/%22cc19-RPh/Fj9x0LrCeHYnL6mPYVOB/Pg%22	https://cdn.jsdelivr.net/npm/bootstrap-select@1.13.14/dist/js/bootstrap-select.min.js	C:/My%20Web%20Sites/4may/cdn.jsdelivr.net/npm/bootstrap-select@1.13.14/dist/js/bootstrap-select.min.js	(from https://www.big4transparency.com/)
21:19:46	6454/6454	---M-Z	200	added ('OK')	text/css	etag:%225eb03ffe-1936%22	https://cdnjs.cloudflare.com/ajax/libs/toastr.js/2.1.4/toastr.min.css	C:/My%20Web%20Sites/4may/cdnjs.cloudflare.com/ajax/libs/toastr.js/2.1.4/toastr.min.css	(from https://www.big4transparency.com/)
21:19:46	5251/5251	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ffe-1483%22	https://cdnjs.cloudflare.com/ajax/libs/toastr.js/2.1.4/toastr.min.js	C:/My%20Web%20Sites/4may/cdnjs.cloudflare.com/ajax/libs/toastr.js/2.1.4/toastr.min.js	(from https://www.big4transparency.com/)
21:19:46	11190/11190	---M-Z	200	added ('OK')	text/css	etag:W/%222bb6-/gRNHFK8oYY4aCk3f/ym0bk5pxM%22	https://cdn.jsdelivr.net/npm/litepicker@2.0.11/dist/css/litepicker.css	C:/My%20Web%20Sites/4may/cdn.jsdelivr.net/npm/litepicker@2.0.11/dist/css/litepicker.css	(from https://www.big4transparency.com/)
21:19:46	64069/64069	---M-Z	200	added ('OK')	application/javascript	etag:W/%22fa45-zv9EcwRTtYKLchhNmFY1Sva+bYQ%22	https://cdn.jsdelivr.net/npm/litepicker@2.0.11/dist/litepicker.js	C:/My%20Web%20Sites/4may/cdn.jsdelivr.net/npm/litepicker@2.0.11/dist/litepicker.js	(from https://www.big4transparency.com/)
21:19:47	12311/12311	---M-Z	200	added ('OK')	application/javascript	etag:W/%223017-L7dSXBMRg8+w6fLO2uH10hDfgyw%22	https://cdn.jsdelivr.net/npm/litepicker@2.0.11/dist/plugins/mobilefriendly.js	C:/My%20Web%20Sites/4may/cdn.jsdelivr.net/npm/litepicker@2.0.11/dist/plugins/mobilefriendly.js	(from https://www.big4transparency.com/)
21:19:48	11778/11778	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Aug%202021%2015:27:11%20GMT	https://www.big4transparency.com/preview.softr.io/	C:/My%20Web%20Sites/4may/www.big4transparency.com/preview.softr.io/index.html	(from https://www.big4transparency.com/)
21:19:48	11778/11778	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Aug%202021%2015:27:11%20GMT	https://www.big4transparency.com/preview.staging.softr.io/	C:/My%20Web%20Sites/4may/www.big4transparency.com/preview.staging.softr.io/index.html	(from https://www.big4transparency.com/)
21:19:48	11778/11778	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Aug%202021%2015:27:11%20GMT	https://www.big4transparency.com/window.location.href	C:/My%20Web%20Sites/4may/www.big4transparency.com/f.txt	(from https://www.big4transparency.com/)
21:19:48	71/71	---MCZ	302	error ('Found')	text/plain	date:Thu,%2012%20Aug%202021%2015:27:11%20GMT	https://unpkg.com/ag-grid-community/dist/styles/ag-grid.css	C:/My%20Web%20Sites/4may/unpkg.com/ag-grid-community/dist/styles/ag-grid.10.delayed	(from https://www.big4transparency.com/)
21:19:49	62077/62077	---MCZ	200	added ('OK')	text/css	etag:%22f27d-bZLj3/W/ulrWOw4dGLHp6n2fZ7A%22	https://unpkg.com/ag-grid-community@25.3.0/dist/styles/ag-grid.css	C:/My%20Web%20Sites/4may/unpkg.com/ag-grid-community@25.3.0/dist/styles/ag-grid.css	(from https://www.big4transparency.com/)
